ID,Module,Sub-module,Requirement#,Description,Metrics,Test Requirements,Pass Criteria,Priority,Version,PRD Chapter Reference,HLD Reference,LLD Reference
REQ-152,QoS (Quality of Service),GC/WL Background Priority,FR-QOS-006,Background tasks (GC/WL) yield to host IO when host P99 latency exceeds 2x baseline to prevent GC-induced latency spikes,Host P99 latency <2x baseline during GC,Run host IO workload during active GC and measure P99 latency,P99 latency remains below 2x baseline throughout GC,P0,V3.0,,,
REQ-153,QoS (Quality of Service),Deterministic Latency Window,FR-QOS-007,"Configurable duty cycle for HOST_IO, GC_ALLOWED, and GC_ONLY time windows to provide deterministic latency behavior",Window timing accuracy +/-1ms,Configure deterministic windows and measure actual window boundaries,Window boundaries accurate to +/-1ms,P1,V3.0,,,
REQ-154,T10 DIF/PI (Data Integrity Field / Protection Information),T10 PI Type 1/2/3 Support,FR-PI-001,Configurable Protection Information type (Type 1/Type 2/Type 3) per namespace with correct guard/reference/application tag generation,Correct PI generation per PI type,Create namespaces with each PI type and verify tag generation on writes,Tags generated correctly per NVMe/T10 PI specification for each type,P0,V3.0,,,
REQ-155,T10 DIF/PI (Data Integrity Field / Protection Information),Guard Tag CRC-16,FR-PI-002,Compute and verify CRC-16 guard tag on write path (generate) and read path (verify) for end-to-end data integrity,100% detection of single-bit guard errors,Inject single-bit errors in data and verify guard tag check detects all,All single-bit data corruption detected by CRC-16 guard tag,P0,V3.0,,,
REQ-156,T10 DIF/PI (Data Integrity Field / Protection Information),Reference and Application Tag,FR-PI-003,Process reference tag (LBA-based for Type 1/2) and application tag per NVMe specification for each PI type,Correct tag matching per PI type,Write data with PI and verify reference/application tags on readback,Tags match expected values per PI type specification,P1,V3.0,,,
REQ-157,T10 DIF/PI (Data Integrity Field / Protection Information),PI Metadata Propagation,FR-PI-004,"Preserve Protection Information metadata through entire FTL pipeline including GC valid page migration, ensuring PI is not lost or corrupted during internal data movement",PI integrity maintained after GC,Write data with PI then trigger GC on those blocks and verify PI on readback,PI metadata intact after GC migration,P0,V3.0,,,
REQ-158,T10 DIF/PI (Data Integrity Field / Protection Information),E2E Data Integrity Error Reporting,FR-PI-005,"Return correct NVMe status codes for guard tag failure (End-to-End Guard Check Error), reference tag failure (End-to-End Reference Tag Check Error), and application tag failure (End-to-End Application Tag Check Error)",Correct NVMe error status returned for each tag failure type,Inject guard/reference/application tag mismatches and verify error status codes,Correct NVMe status code returned for each PI error type,P1,V3.0,,,
REQ-159,Security,AES-XTS 256-bit Simulation,FR-SEC-001,"Simulate AES-XTS 256-bit encryption/decryption on data path using XOR-based placeholder matching AES-XTS interface for functional verification of encryption pipeline",Encrypt-decrypt round-trip data integrity,Write data through encryption path and read back through decryption path,Data identical after encrypt-decrypt round trip,P1,V3.0,,,
REQ-160,Security,Key Hierarchy,FR-SEC-002,"Implement 3-level key hierarchy: Master Key (MK) -> Key Encryption Key (KEK) -> Data Encryption Key (DEK), with per-namespace DEK isolation",Correct key derivation and wrapping at each level,Verify key derivation chain and per-namespace DEK isolation,Each namespace uses unique DEK derived through correct hierarchy,P1,V3.0,,,
REQ-161,Security,TCG Opal SSC Basic Commands,FR-SEC-003,"Implement TCG Opal SSC basic command set: StartSession, Authenticate, Set/Get locking state for per-locking-range access control",Lock/unlock operations per locking range,Execute lock/unlock sequences on different locking ranges and verify access control,Data inaccessible when locked and accessible when unlocked per range,P1,V3.0,,,
REQ-162,Security,Crypto Erase,FR-SEC-004,"Destroy namespace DEK rendering all data on that namespace cryptographically unreadable without physical erase",Post-erase reads return error or garbage data,Perform crypto erase on namespace and attempt to read previously written data,Reads return error or non-original data after crypto erase,P1,V3.0,,,
REQ-163,Security,Secure Erase,FR-SEC-005,Block erase all user data blocks for target namespace ensuring no recoverable user data remains,All namespace blocks erased,Perform secure erase and verify all blocks in namespace are erased (0xFF),No user data recoverable after secure erase,P1,V3.0,,,
REQ-164,Security,Secure Boot Chain,FR-SEC-006,"Simulate ROM->Bootloader->Firmware verification chain using CRC-based signatures; abort boot on tampered image detection",Boot aborts on tampered image,Tamper firmware image and verify boot process aborts with error,Boot halts and reports integrity error on tampered image,P2,V3.0,,,
REQ-165,Security,Key Storage in NOR,FR-SEC-007,"Store encryption keys in dual-copy key partition in NOR Flash with power-safe atomic updates to survive UPLP events",Keys survive UPLP,Perform UPLP during key update and verify key integrity after recovery,Both key copies consistent and valid after UPLP,P1,V3.0,,,
REQ-166,Multi-Namespace Management,Namespace Create,FR-MNS-001,"Allocate capacity from global free pool, initialize per-namespace FTL tables (L2P, block lists), and make namespace usable after creation",Namespace usable after create,Create namespace via nvme create-ns and perform IO,IO succeeds on newly created namespace,P1,V3.0,,,
REQ-167,Multi-Namespace Management,Namespace Delete,FR-MNS-002,"Reclaim all blocks belonging to namespace, free per-namespace L2P tables and metadata, return capacity to global free pool",Capacity fully reclaimed after delete,Delete namespace and verify free pool capacity increases by deleted namespace size,Free pool capacity equals pre-create value after delete,P1,V3.0,,,
REQ-168,Multi-Namespace Management,Namespace Attach/Detach,FR-MNS-003,"Attach namespace to controller making it accessible, detach without data loss preserving all namespace data and metadata",Data preserved across detach/attach cycle,Write data then detach/attach namespace and verify data integrity,All data readable and correct after detach/attach cycle,P1,V3.0,,,
REQ-169,Multi-Namespace Management,Per-Namespace FTL Tables,FR-MNS-004,"Maintain separate L2P mapping table per namespace with configurable shared or dedicated block pools ensuring namespace isolation",NS isolation: write to NS-A does not affect NS-B mapping,Write to one namespace and verify other namespace L2P mappings unchanged,Cross-namespace mapping isolation verified,P1,V3.0,,,
REQ-170,Multi-Namespace Management,Namespace Format,FR-MNS-005,Per-namespace LBA format change (e.g. 512B to 4KB block size) without affecting other namespaces,Format completes without affecting other namespaces,Format one namespace while running IO on another and verify both,Formatted namespace uses new LBA size; other namespace unaffected,P2,V3.0,,,
REQ-171,Thermal Management and Telemetry,Composite Temperature,FR-THERM-001,"Calculate weighted average composite temperature from per-die thermal sensor readings using configurable weight factors",Composite temperature accuracy +/-2C vs thermal model,Compare composite temperature calculation against reference thermal model,Composite temperature within +/-2C of reference model,P1,V3.0,,,
REQ-172,Thermal Management and Telemetry,Progressive Thermal Throttle,FR-THERM-002,"Implement 3-level progressive thermal throttling: Warning (75C, 80% performance), Throttle (80C, 50% performance), Critical (85C, 20% performance)",IOPS reduction within +/-5% of target at each level,Drive temperature through each threshold and measure IOPS reduction,IOPS reduced to target percentage +/-5% at each thermal level,P1,V3.0,,,
REQ-173,Thermal Management and Telemetry,Thermal Shutdown,FR-THERM-003,Controller-initiated graceful shutdown at 90C threshold to prevent thermal damage with safe data persistence,Shutdown initiated within 100ms of 90C threshold,Drive temperature to 90C and measure time to shutdown initiation,Shutdown begins within 100ms of reaching 90C,P1,V3.0,,,
REQ-174,Thermal Management and Telemetry,Host-Initiated Telemetry,FR-THERM-004,Support NVMe Telemetry Host-Initiated Log Page (07h) with internal state dump including FTL statistics and NAND health data,Log page populated on host request,Issue Get Log Page 07h and verify contents,Log page contains valid internal state data,P2,V3.0,,,
REQ-175,Thermal Management and Telemetry,Controller-Initiated Telemetry,FR-THERM-005,"Support NVMe Telemetry Controller-Initiated Log Page (08h) with autonomous event capture, generating AER notification to host",AER notification sent on controller-initiated telemetry event,Trigger internal event that generates controller-initiated telemetry and verify AER,AER received by host with correct telemetry log page reference,P2,V3.0,,,
REQ-176,Thermal Management and Telemetry,Vendor-Specific Log Page,FR-THERM-006,Configurable vendor-specific log page with internal counters (GC count/WAF/channel utilization/error rates) accessible via NVMe Get Log Page,Log page accessible via NVMe Get Log Page command,Issue Get Log Page for vendor-specific log ID and verify counter values,Log page returns valid and accurate internal counter data,P2,V3.0,,,
REQ-177,Thermal Management and Telemetry,SMART Remaining Life Prediction,FR-THERM-007,Predict remaining endurance (percentage life remaining) based on current PE cycle consumption and WAF trend extrapolation,Prediction within +/-10% of actual remaining life,Compare predicted remaining life against actual PE cycle headroom,Prediction accuracy within +/-10%,P2,V3.0,,,
REQ-178,Thermal Management and Telemetry,Async Event Notification,FR-THERM-008,"Generate Asynchronous Event Request (AER) notifications for temperature threshold crossing, spare capacity below threshold, and reliability degradation events",AER delivered within 1ms of triggering event,Trigger each AER event type and measure notification latency,AER delivered to host within 1ms for all event types,P1,V3.0,,,
